tag,family,topology,seed,diffuse_frac,roughness,theta,rho,control,params_json
KA_anchor_s23,topo,comb,23,d00,,0.0,0.0016401730244979262,0.049771495163440704,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
KA_anchor_s23,topo,comb,23,d00,,-20.0,0.00044779680320061743,0.049724020063877106,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
KA_anchor_s23,topo,comb,23,d00,,-40.0,0.0004313514509703964,0.049719568341970444,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
KA_anchor_s23,topo,comb,23,d00,,20.0,0.00044947024434804916,0.049731478095054626,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
KA_anchor_s23,topo,comb,23,d00,,40.0,0.0004338577564340085,0.04971839487552643,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
KA_anchor_s23,topo,comb,23,d76,,0.0,0.0006162782083265483,0.0497635081410408,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
KA_anchor_s23,topo,comb,23,d76,,-20.0,0.0010518430499359965,0.04971447214484215,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
KA_anchor_s23,topo,comb,23,d76,,-40.0,0.0017907958244904876,0.04971007630228996,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
KA_anchor_s23,topo,comb,23,d76,,20.0,0.001044755452312529,0.0497225858271122,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
KA_anchor_s23,topo,comb,23,d76,,40.0,0.001777422847226262,0.04970714449882507,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
